NN_absorption	NN_adsorption
NN_beta-carotene	NP_beta-carotene
biofilm	biofilms
JJ_black	NP_black
JJ_blue	NP_blue
JJ_blue JJ_green NN_algae	JJ_blue-green NN_alga
JJ_blue JJ_green NN_algae	JJ_blue-green NN_algae
JJ_blue JJ_green NN_algae	NP_blue-green NN_algae
JJ_blue JJ_green NN_algae	NP_blue-green algae
JJ_blue JJ_green NN_algae	blue-green-algae
JJ_blue-green NN_alga	JJ_blue-green NN_algae
JJ_blue-green NN_alga	NP_blue-green NN_algae
JJ_blue-green NN_alga	NP_blue-green algae
JJ_blue-green NN_alga	blue-green-algae
JJ_blue-green NN_algae	NP_blue-green NN_algae
NP_blue-green NN_algae	NP_blue-green algae
NP_blue-green NN_algae	blue-green-algae
JJ_bottom	NN_bottom
JJ_brown	NP_brown
NN_carbon	NP_carbon
JJ_caribbean	NP_caribbean
JJ_central	NP_central
NN_channel	NP_channel
JJ_chemical	NP_chemical
NN_chemical	NP_chemical
JJ_chemical NN_composition	NN_chemical NN_composition
NN_chlorella	chlorella
chlorophyceae	chlorophycean
NN_chlorophyll DT_a NN_concentration	NN_chlorophyll NN_concentration
NN_chlorophyll DT_a NN_content	NN_chlorophyll NN_content
chlorophyta	chlorophyte
chlorophyte	chlorophytes
NN_chloroplast NN_gene	NN_chloroplast NN_genome
chondrus NP_crispus	chondrus crispus
NP_crispus	crispus
JJ_close	NN_close
NN_coast	NP_coast
NN_composition	composition
NN_concentration NN_range	NN_concentration VV_range
NN_range	VV_range
JJ_copepod	NN_copepod
corallina	JJ_coralline
JJ_crude	NN_crude
JJ_crustacean	NN_crustacean
NN_culture	NP_culture
NP_culture	JJ_cultured
cyanobacteria NN_bloom	cyanobacterial NN_bloom
JJ_dark	NN_dark
NN_degree	degreesc
NN_degree NP_c	NN_degree NP_n
NN_degree NP_c	NN_degree NP_s
NN_degree NP_c	degreesc
NN_degree NP_n	NN_degree NP_s
JJ_dic	NP_dic
JJ_different	NP_different
VV_dissolve JJ_inorganic NN_carbon	VV_dissolve JJ_organic NN_carbon
JJ_organic	JJ_inorganic
JJ_dominant NN_specie	JJ_dominant NN_species
NN_drinking NN_water	VV_drink NN_water
NN_drinking	VV_drink
JJ_east	NP_east
JJ_effluent	NN_effluent
enteromorpha sp	enteromorpha spp
spp	sp
epifauna	epifaunal
JJ_equivalent	NN_equivalent
JJ_estimated	NN_estimate
NN_estuary	estuary
NN_f	NP_f
JJ_fatty NN_acid	NN_fatty NN_acid
JJ_fatty	NN_fatty
JJ_fatty JJ_acid NN_composition	JJ_fatty NN_acid NN_composition
VV_feed NN_preference	NN_food NN_preference
NN_flagellum	JJ_flagellar
JJ_flagellate	NN_flagellate
JJ_fresh NN_water	NN_freshwater
JJ_gastropod	NN_gastropod
JJ_green	NN_green
NN_green	NP_green
JJ_green NN_alga	green-alga
JJ_green NN_alga chlamydomonas	JJ_green NN_algae chlamydomonas
JJ_green NN_alga chlamydomonas reinhardtii	JJ_green NN_algae chlamydomonas reinhardtii
JJ_green NN_alga chlorella	JJ_green NN_algae chlorella
JJ_green NN_alga scenedesmus	JJ_green NN_algae scenedesmus
JJ_green macroalga	JJ_green macroalgae
JJ_green macroalga	JJ_green microalga
macroalga	microalga
JJ_green macroalga	JJ_green microalgae
macroalga	microalgae
JJ_green macroalgae	JJ_green microalga
microalga	macroalgae
JJ_green macroalgae	JJ_green microalgae
macroalgae	microalgae
JJ_green microalga	JJ_green microalgae
microalga	microalgae
green-alga	green-algae
NN_group NN_i	NN_group PP_i
NN_group NN_i intron	NN_group NN_i introns
introns	intron
heterocyst	heterocysts
JJ_high NN_performance	JJ_high-performance
JJ_high NN_performance JJ_liquid NN_chromatography	JJ_high-performance JJ_liquid NN_chromatography
JJ_inorganic NP_c	JJ_inorganic NP_n
JJ_invertebrate	NN_invertebrate
NN_island	NP_islands
JJ_isolated	NN_isolate
NN_lagoon	lagoon
JJ_light	NP_light
NN_light	NP_light
JJ_light NN_harvesting	light-harvesting
macroalga	microalga
macroalga ulva	macroalgae ulva
macroalgal NN_specie	macroalgal NN_species
macrocystis	microcystis
macrofauna	macrofaunal
NP_magna	magna
JJ_marine	NN_marine
NN_marine	NP_marine
JJ_marine NN_alga	JJ_marine NN_algae
JJ_marine JJ_green NN_alga	JJ_marine JJ_green NN_algae
JJ_marine macroalga	JJ_marine macroalgae
JJ_marine macroalga	NP_marine macroalgae
JJ_marine macroalga	JJ_marine microalgae
macroalga	microalgae
JJ_marine macroalgae	NP_marine macroalgae
JJ_marine macroalgae	JJ_marine microalgae
macroalgae	microalgae
NP_marine macroalgae	JJ_marine microalgae
JJ_medium	NN_medium
mesocosm	mesocosms
NN_mg	mg
microalga	microalgae
microalga	microalgal
microcystin lr	microcystin-lr
JJ_middle	NN_middle
JJ_minimum	NN_minimum
mol NN_photon NN_m	mumol NN_photon NN_m
mumol	mol
NN_mu mol NN_photon	mumol NN_photon
NN_mu mol NN_photon NN_m	mumol NN_photon NN_m
JJ_mum	NN_mum
NN_nitrate NN_concentration	NN_nitrogen NN_concentration
NN_nitrogen	nitrogen
nodularia	nodularin
JJ_north	NN_north
JJ_north	NP_north
NN_north	NP_north
JJ_northern	NP_northern
NP_nov	nov
JJ_nutrient NN_concentration	NN_nutrient NN_concentration
NN_o	NP_o
NN_ocean	NP_ocean
JJ_oceanic	oceanica
JJ_other NN_specie	JJ_other NN_species
NN_photosynthesis	photosynthesis
NN_photosynthesis NN_rate	JJ_photosynthetic NN_rate
NN_photosynthesis	JJ_photosynthetic
JJ_photosynthetic	photosynthetic
photosystem	photosystems
photosystem NN_i	photosystem PP_i
photosystem NN_i	photosystem NP_ii
physico-chemical	JJ_physicochemical
NN_phytoplankton	phytoplankton
NP_ps NP_i	NP_ps PP_i
rdna NN_sequence	rrna NN_sequence
rrna	rdna
NN_reaction NN_center	NN_reaction NN_centre
JJ_red	NN_red
JJ_red	NP_red
NN_red	NP_red
JJ_red macroalga	JJ_red macroalgae
NN_reef	NP_reef
JJ_relative	NN_relative
JJ_representative	NN_representative
NN_reservoir	reservoir
rhodophyta	rhodophyte
rhodophyte	rhodophytes
NN_sea NN_water	NN_seawater
JJ_shallow NN_water	NN_shallow-water
JJ_significant NN_decrease	JJ_significant NN_increase
NN_increase	NN_decrease
JJ_solvent	NN_solvent
JJ_south	NP_south
JJ_southern	NP_southern
NP_sp	sp
NN_specie	NP_species
NN_species	NP_species
NN_specie VH_have	NN_species VH_have
NN_specie VV_show	NN_species VV_show
ssu rdna	ssu rrna
rrna	rdna
NN_state	NP_state
NN_sulfate	sulfated
thylakoid	thylakoids
ulva lactuca	ulva-lactuca
ulva sp	ulva spp
spp	sp
JJ_unicellular	unicellular
JJ_upper	NP_upper
NN_uptake	uptake
NP_uv NN_radiation	uvb NN_radiation
NP_uv	uvb
JJ_uv-b	NN_uv-b
JJ_uv-b	NP_uv-b
NN_uv-b	NP_uv-b
JJ_uv-b NN_radiation	NN_uv-b NN_radiation
JJ_uv-b	NN_uv-b
JJ_uv-b NN_radiation	uvb NN_radiation
NN_uv-b NN_radiation	uvb NN_radiation
NN_w	NP_w
NN_waste NN_water	NN_wastewater
NN_water	NP_water
JJ_west	NN_west
JJ_west	NP_west
NN_west	NP_west
JJ_west NN_coast	NN_west NN_coast
JJ_west	NN_west
JJ_western	NP_western
